product_id,name,category,price,stock_qty
1,Water Bottle 093,Sports,381.61,4362
2,Bicycle Helmet 269,Sports,43.13,3269
3,Blanket 736,Home & Kitchen,263.93,3563
4,Dress 771,Clothing,181.75,1028
5,Air Fryer 562,Home & Kitchen,60.68,3360
6,Body Lotion 165,Beauty,37.08,3975
7,Dress 034,Clothing,267.26,2075
8,Hat 809,Clothing,207.42,4908
9,T-Shirt 550,Clothing,162.31,1355
10,Boots 579,Clothing,227.34,2809
11,Air Fryer 701,Home & Kitchen,324.94,2689
12,Camping Tent 562,Sports,119.46,1924
13,Socks 642,Clothing,277.59,4548
14,Lip Balm 333,Beauty,122.44,1482
15,Conditioner 062,Beauty,132.85,709
16,Vacuum 529,Home & Kitchen,448.75,2297
17,Cookware Set 210,Home & Kitchen,409.64,3057
18,Self-Help Book 534,Books,67.87,3050
19,Cookbook 736,Books,21.46,4618
20,Laptop 849,Electronics,1501.19,1087
21,Children's Book 235,Books,77.21,214
22,Swim Goggles 997,Sports,176.47,1645
23,Jacket 277,Clothing,160.49,3020
24,Shorts 143,Clothing,183.09,1293
25,Nail Polish 798,Beauty,84.38,2752
26,Children's Book 788,Books,34.67,2334
27,Art Book 140,Books,43.81,3863
28,Tennis Racket 085,Sports,74.12,2461
29,Perfume 682,Beauty,41.71,1959
30,Biography 485,Books,56.1,3172
31,Jeans 178,Clothing,98.67,1677
32,Lip Balm 985,Beauty,147.69,1313
33,Eye Cream 075,Beauty,133.24,200
34,History Book 994,Books,27.41,2323
35,Eye Cream 089,Beauty,39.54,2193
36,Smartwatch 156,Electronics,929.02,147
37,Conditioner 470,Beauty,54.74,4420
38,Boots 362,Clothing,196.59,584
39,Textbook 637,Books,11.51,266
40,Knife Set 606,Home & Kitchen,458.49,856
41,Basketball 577,Sports,309.91,4419
42,Sneakers 534,Clothing,244.11,4814
43,Smartphone 395,Electronics,1535.47,3189
44,Headphones 917,Electronics,711.1,2668
45,Blanket 081,Home & Kitchen,435.6,932
46,Swim Goggles 331,Sports,11.54,1102
47,Smartphone 378,Electronics,882.93,872
48,Basketball 192,Sports,36.44,4958
49,Bicycle Helmet 326,Sports,398.19,1672
50,Bicycle Helmet 379,Sports,74.22,1821
51,Children's Book 229,Books,31.64,645
52,Self-Help Book 599,Books,10.5,2948
53,Smartphone 449,Electronics,618.36,1249
54,Socks 973,Clothing,143.0,1172
55,Running Shoes 299,Sports,339.57,4820
56,Tablet 307,Electronics,810.51,942
57,Eye Cream 960,Beauty,125.69,1712
58,Charger 097,Electronics,875.41,2752
59,Face Mask 067,Beauty,29.86,4236
60,Tablet 907,Electronics,121.81,4785
61,Knife Set 996,Home & Kitchen,256.93,1624
62,Lip Balm 726,Beauty,114.9,4692
63,Children's Book 996,Books,78.84,3669
64,Science Book 345,Books,59.82,3407
65,Shampoo 742,Beauty,77.44,3856
66,History Book 282,Books,62.22,958
67,Resistance Bands 428,Sports,141.05,942
68,Resistance Bands 971,Sports,178.31,1955
69,Sneakers 234,Clothing,239.41,3824
70,Dress 382,Clothing,232.13,1837
71,Lip Balm 935,Beauty,27.27,1374
72,Cookbook 992,Books,12.88,748
73,Smartphone 067,Electronics,157.05,4644
74,Perfume 717,Beauty,105.6,2341
75,Textbook 982,Books,77.37,2818
76,Running Shoes 238,Sports,179.36,4268
77,Running Shoes 127,Sports,353.63,2094
78,Self-Help Book 393,Books,30.02,1476
79,Conditioner 406,Beauty,83.95,706
80,Face Mask 625,Beauty,128.33,3338
81,T-Shirt 034,Clothing,154.62,3768
82,Blanket 732,Home & Kitchen,57.87,3028
83,Jeans 235,Clothing,127.92,3074
84,Socks 305,Clothing,275.19,645
85,Perfume 343,Beauty,80.46,1868
86,Running Shoes 797,Sports,306.39,4779
87,Hoodie 835,Clothing,208.46,1171
88,Coffee Maker 886,Home & Kitchen,214.49,2193
89,Headphones 230,Electronics,1282.99,3361
90,Smartwatch 220,Electronics,1318.92,2143
91,Smartwatch 070,Electronics,821.0,1975
92,Speaker 286,Electronics,1697.48,439
93,Resistance Bands 608,Sports,355.2,3729
94,Sunscreen 638,Beauty,139.24,2333
